Experiment 1: DTLearner Overfitting
Leaf Size, In-sample RMSE, Out-of-sample RMSE, In-sample Corr, Out-of-sample Corr
1,0.0096,0.0104,0.4993,0.5408
2,0.0106,0.0115,0.5159,0.5524
3,0.0093,0.0098,0.5667,0.6272
4,0.0093,0.0098,0.5667,0.6272
5,0.0104,0.0104,0.5774,0.6578
6,0.0100,0.0102,0.6031,0.6612
7,0.0100,0.0102,0.6031,0.6612
8,0.0100,0.0102,0.6031,0.6612
9,0.0100,0.0102,0.6031,0.6612
10,0.0124,0.0125,0.5864,0.6585

Experiment 3: DTLearner vs. RTLearner
Trial, DTLearner MAE, RTLearner MAE, DTLearner Time, RTLearner Time
1,0.0094,0.0097,0.0059,0.0024
2,0.0087,0.0081,0.0061,0.0013
3,0.0107,0.0118,0.0063,0.0026
4,0.0107,0.0095,0.0086,0.0025
5,0.0099,0.0085,0.0062,0.0023
6,0.0094,0.0090,0.0063,0.0012
7,0.0093,0.0094,0.0078,0.0013
8,0.0100,0.0097,0.0095,0.0015
9,0.0091,0.0090,0.0078,0.0021
10,0.0085,0.0076,0.0074,0.0016
